nodeId,category,name,description,logic,requiredPoints
money_awaken,돈,각성 상태,직원이 가끔씩 개발 도중 각성상태가 되어 게임 점수가 크게 증가합니다,기존 틱에서 상승하던 잭팟 시스템이 추가 ( 찍기전에는 잭팟 없이 기본만 ),5
money_comeback,돈,역주행,마지막 달의 매출이 3배 증가합니다,로직상 매출이 나오는 마지막 달의 매출 3배로 증가,10
money_craftsman,돈,장인 정신,연구 완료 이후 출시한 게임이 증가할때마다 매출 0.5% 상승합니다 (최대 10%),연구 완료 이후 낸 게임이 1개가 증가할때마다 매출 0.5% 상승 최대 15개,15
money_bugmaster,돈,버그 잡기 달인,버그 해결속도가 증가합니다,버그 해결속도 증가,20
money_perfect,돈,만점 신화,게임 점수가 100점이 나오면 해당 게임의 매출이 15% 증가합니다,100점이면 매출 증가 15%,25
money_sequel,돈,익숙한 맛,후속작을 출시 했을 경우 해당 게임의 매출이 20% 증가합니다,후속작 개발시 매출 + 20%,30
hire_discount,채용,채용 비용 할인,채용하는데 드는 비용이 20% 감소합니다,채용하는데 드는 비용 20% 할인,5
hire_tier2,채용,채용 2단계,채용 등급이 2단계로 상승하여 더 좋은 직원이 등장할 확률이 높아집니다,채용 2단계,10
hire_more,채용,한 명 더!,채용 리스트에 등장하는 직원이 한 명 더 추가됩니다,채용 인원 +1,15
hire_refresh,채용,한 번 더!,채용 리스트에서 원하는 사람이 없는 경우 새로고침을 1회 할 수 있게됩니다,채용 리스트 전원 새로 고침 1회 가능 (이러면 여기서 못뽑게) 뽑으면 새로고침 버튼 사라짐,20
hire_tier3,채용,채용 3단계,채용 등급이 3단계로 상승하여 더 좋은 직원이 등장할 확률이 높아집니다,채용 3단계,25
sat_mental,만족도,멘탈 케어 서비스,매달 하락하는 만족도가 1 감소합니다,기본 만족도 하락양 감소,5
sat_loyalty,만족도,평생 직장,직원이 자진 퇴사할 확률이 하락합니다,"직원 자진 퇴사 확률 10% 하락 (도망포함된 전체 확률, 음수는 0% 처리)",10
sat_welcome,만족도,신입 환영회,신규 직원이 입사하면 랜덤한 직원의 만족도가 20 회복됩니다,신규 직원 입사시 랜덤 직원 만족도 + 20,15
sat_completion,만족도,완성의 기쁨,게임을 출시하면 모든직원의 만족도가 5 회복됩니다,게임 완성시 만족도 전원 추가 5 상승,20
sat_elite,만족도,고급 인력,11성 이상일 때 강화를 성공하면 해당 직원의 만족도가 5 회복됩니다,11성 이상 강화 성공시 해당 직원 만족도 +5,25
creat_value1,창의성,블록 가치 상승 Ⅰ,창의성 블록이 차지한 한 칸당 점수가 10점으로 증가합니다,칸당 점수 5점 > 10점,5
creat_box2,창의성,창의성 2단계,창의성 블록이 들어갈 박스를 한 단계 넓게 만들어줍니다,창의성 박스 크기를 한단계 업그레이드,10
creat_value2,창의성,블록 가치 상승 Ⅱ,창의성 블록이 차지한 한 칸당 점수가 15점으로 증가합니다,칸당 점수 10점 > 15점,15
creat_box3,창의성,창의성 3단계,창의성 블록이 들어갈 박스를 한 단계 넓게 만들어줍니다,창의성 박스 크기를 한단계 업그레이드,20
creat_value3,창의성,블록 가치 상승 Ⅲ,창의성 블록이 차지한 한 칸당 점수가 20점으로 증가합니다,칸당 점수 15점 > 20점,25
