eventType,title,description,description2,dialogue2,question,portraitId,portraitId2,weight,categoryMin,categoryMax,requiresPatrol,requiredPatrolPointId,choice1_label,choice1_resultTitle,choice1_resultDescription,choice1_resultDescription2,choice1_resultDescription3,choice1_systemMessage,choice1_systemMessage2,choice1_systemMessage3,choice1_reply1,choice1_reply2,choice1_popupType,choice1_ment1,choice1_ment2,choice1_ment3,choice1_popupType2,choice1_ment1_2,choice1_ment2_2,choice1_ment3_2,choice2_label,choice2_resultTitle,choice2_resultDescription,choice2_resultDescription2,choice2_resultDescription3,choice2_systemMessage,choice2_systemMessage2,choice2_systemMessage3,choice2_reply1,choice2_reply2,choice2_popupType,choice2_ment1,choice2_ment2,choice2_ment3,choice2_popupType2,choice2_ment1_2,choice2_ment2_2,choice2_ment3_2,choice3_label,choice3_resultTitle,choice3_resultDescription,choice3_resultDescription2,choice3_resultDescription3,choice3_systemMessage,choice3_systemMessage2,choice3_systemMessage3,choice3_reply1,choice3_reply2,choice3_popupType,choice3_ment1,choice3_ment2,choice3_ment3,choice3_popupType2,choice3_ment1_2,choice3_ment2_2,choice3_ment3_2
CoffeeRequest,커피가 필요해,사장님… 이제 한계입니다… 커피를 주세요,"사장님... 지금 딱 졸음이 쏟아지는 시간이라 그런데, 혹시 남는 커피 있으신가요?",,직원에게 커피를?,,,1,1,4,true,master_desk,준다,커피를 먹지도 못하고 다 쏟아버렸습니다,오늘따라 커피를 먹으니 더 힘이나네요!,후우... 이제야 좀 살 것 같네요.,으아아악 커피를 쏟았는데 화면이 나가버렸어요. 저장도 안 했는데...,,개발 기간 +{주수}주,,,,1,커피(아이템) -1,{직원이름} 능력치 +10%,,,,,,안준다,,궁시렁 궁시렁 궁시렁 궁시렁,너무하다 너무해 진짜,,,,,,,3,커피에 미련이 남은듯 계속 쳐다봅니다,{직원이름} 만족도 - 10,,,,,,,,,,,,,,,,,,,,,,,
EnergyDrinkRequest,에너지 드링크는 내꺼야,사장님 어제 에너지 드링크가 있는 거 봤는데.. 저한테 투자하시죠!,"사장님... 혹시 바쁘신데 죄송하지만, 그 에너지 드링크 제가 좀 마셔도 될까요?",,직원에게 에너지드링크를?,,,1,1,4,true,master_desk,준다,,"크으, 이 맛이죠! 사장님, 역시 제 마음을 아시는 건 사장님뿐입니다.",,,,,,,,1,에너지드링크(아이템) -1,{직원이름} 능력치 +10%,,,,,,안준다,,와... 사장님 정말 냉정하시네요. 눈앞에서 사람이 쓰러져 가는데...,,,,,,,,3,에너지 드링크에 미련이 남은듯 계속 쳐다봅니다,{직원이름} 만족도 - 10,,,,,,,,,,,,,,,,,,,,,,,
Investment,의문의 투자 제안,"사장님 투자 제안이 들어왔어요!
{파트} 수치가 {임계값} 이상이면 돈을 투자해 주지만 기준 미달이면 위약금까지 내야한다고 하네요 수락하시겠어요?",,,위험한 투자 제안 수락할까?,portrait_secretary,,1,,,false,,수락,,{파트} 점수가 {임계값}을 꼭 달성해서 능력을 보여주세요!,,,,,,{파트} 점수가 {임계값}을 꼭 달성해서 능력을 보여주세요!,,3,{파트} 점수가 {임계값}을 꼭 달성해서 능력을 보여주세요!,+총 연봉 *10% G,,,,,,거절,,거절도 좋은 선택이라고 생각합니다 사장님!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birthday,생일,사장님 오늘 저희 집 강아지 생일이에요!,,,선물을 바라며 눈치를 준다. 어떻게 할까?,,,1,1,4,true,master_desk,음… 그래서?,,,,,,,,흥! 제 가족같은 강아지를 안챙겨주다니 너무하네요,,3,{해당직원이름}이 실망하는 표정을 짓고 있습니다,{해당직원이름} 만족도 -5,,,,,,직원들 강아지 생일까지 챙겨야 하는건가...(-{N}G),,,,,,,,와 사장님 감동이에요! 내년에도 기억해주세요ㅎㅎ,,1,강아지 생일 축하,{해당직원이름} 만족도 +10,-{비용}G,,,,,,,,,,,,,,,,,,,,,,
EarlyLeaveRequest,퇴근요청,사장님 이번주는 집중이 안돼서 3시간만 일찍 퇴근하겠습니다!,,,직원의 이른 퇴근 요청… 해줄까?,,,1,1,4,true,master_desk,이건 또 뭔 소리지 당연히 안되는거 아니야?,,,,,,,,"사장님, 지금 '저장'이랑 '삭제' 버튼을 자꾸 헷갈려 하는데... 이대로 계속 일해 볼게요",,3,거절당한 직원이 툴툴거리며 자리로 돌아갔습니다.,{해당직원이름} 만족도 -5,,,,,,이거 허락 안해주면 또 난리치겠지? 그냥 해줘야겠다,,,,,,,,이미 말이 끝나기도 전에 짐을 싸고 사라져있었다…,,1,퇴근 요청 승인,{해당직원이름} 만족도 +5,개발 기간 +{주수}주,,,,,,,,,,,,,,,,,,,,,,
HackyCode,야매 코드,"사장님, 정석대로 만들면 너무 오래 걸려요. 야매로 코드를 짜둘까요?",,,야매 코드를 제안했다. 어떻게 할까?,,,1.3,2,3,true,master_desk,그래 일단 마감은 해야지! 진행시켜,,,,,,,,나중에 서버 터져도 저한테만 뭐라하면 안 돼요?,,2,2주 뒤 무슨 일이 생길 것 같은 기분이 듭니다,,,,,,,아니야. 오래 걸리더라도 무조건 완벽하게 개발하자,,,,,,,,후… 일단 {주수}주는 더 걸릴 것 같네요,,3,정석대로 기초부터 다시 쌓아 올립니다.,개발 기간 +{주수}주,,,,,,,,,,,,,,,,,,,,,,,
EquipmentUpgrade,장비 업그레이드 요청,사장님 컴퓨터 새로 하나 바꿔주시죠,사장님 태블릿 하나 새로 사주시죠,,직원의 장비 업그레이드.. 해줄까?,,,1,1,4,true,master_desk,그래.. 알겠어 바꿔줘야지(-{N}G),,개발 속도가 빛의 속도로 빨라졌습니다! 이제 일할 맛이 나네요,"""선이 다르게 그어져요!"" 새 태블릿을 잡은 손이 보이지 않을 정도로 빨라집니다.",,,,,,,1,장비 업그레이드 완료,{해당직원이름} 능력치 {주수}주 동안 +10%,-{비용}G,,,,,지금은 예산초과야… 이번 게임 대박나면 꼭 바꿔줄게,,,,,,,,에휴… 이런 장비로 뭘 얼마나 잘만들겠어요~,,2,직원이 째려보는게 계속 느껴집니다,,,,,,,,,,,,,,,,,,,,,,,,
CompanyDinner,오늘은 회식이다!,직원들이 회식을 요구하고 있어요 어떻게 할까요?,,,회식을 원하는 직원들 어떻게 할까?,portrait_secretary,,1,1,4,false,,회식은 뭔 회식이야 게임이나 만들자,,,,,,,,사장님 말씀이 맞아요. 지금 회식할 때가 아니죠! 제가 직원들에게는 대충 둘러대겠습니다.,,3,회사에 무거운 정적이 흐릅니다.,전 직원 만족도 -5,,,,,,오늘은 삼겹살로 가자!(-{N}G),몇 직원이 소고기 타령을 하며 입을 삐죽거립니다.,사장님 나이스! 삼겹살 메뉴 선정 최고예요. 벌써 환호성 지르고 난리 났습니다!,삼겹살 사줬더니 소고기 타령 하고있네요…,,,,,,,1,전 직원 만족도 +5,-{비용}G,,,,,,고생하는데 무리좀 해야지… 오늘은 소고기다(-{N}G),,,,,,,,진짜 소고기요? 꽃등심? 와... 사장님 만세!,,1,전 직원 만족도 +10,-{비용}G,,,,,
BossGossip,사장님 뒷담까기,사장님 {직원이름}가 사장님 뒷담을 하는걸 제가 들었어요 어떻게 할까요?,,,뒷담을 한 직원… 어떻게 할까?,portrait_secretary,,1,1,4,false,,그럴수있지(눈물을 닦으며),,,,,,,,제가 가서 은근슬쩍 눈치 좀 주고 오겠습니다.,,3,사장님의 넓은 마음씨에 전직원이 감동받았습니다.,전체 직원 만족도 +5,,,,,,회의실로 오라고 해봐. 면담 좀 하자.,,,,,,,,"사, 사장님... 표정이 너무 무서우세요... 살살 하세요...",,3,사장님의 무서운 모습에 다들 일에 집중하기 시작합니다,{직원이름} 만족도 -5,{직원이름} 능력치 {주수}주 동안 +10%,,,,,,,,,,,,,,,,,,,,,,
YoutuberRequest,유튜버 선공개 요청,유튜버가 게임을 미리 해보고 싶다고 연락해 옵니다! 완성이 안된 상태인데 그래도 전달해볼까요?,,,선공개 요청이 왔다. 어떻게 할까?,portrait_secretary,,1,3,4,false,,난 우리 직원들이 만든게임을 믿고 있어!,,인기있는 장르여서 좋은 반응이 나오고 있습니다,흐음 애매한 반응이네요 이걸 좋아해야 할지 안 좋아해야 할지…,인기없는 장르라서 그런가… 다들 노잼이라는 반응이 나오고 있습니다,이번 게임의 기대감이 오르고 있습니다.,,이번 게임의 기대감이 떨어지고 있습니다.,,,2,이번 게임의 기대감이 오르고 있습니다,,,,,,,미완성 상태에서 보여주는건 너무 도박인 것 같아 패스하자,,괜찮은 선택이에요. 완성된 게임으로 승부하죠!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
